Movement,Muscles,Origin,Insertion,articulacion_seccion,0,1,2,Joint,From,To,Description
Flexion (150°–170°),Anterior fibers of deltoid,Clavicle,Middle of lateral surface of shaft of humerus,Shoulder,,,,,,,
Flexion (150°–170°),Clavicular part of pectoralis major,Clavicle,Lateral lip of bicipital groove of humerus,Shoulder,,,,,,,
Flexion (150°–170°),Long head of biceps brachii,Supraglenoid tubercle of scapula,"Tuberosity of radius, Deep fascia of forearm",Shoulder,,,,,,,
Flexion (150°–170°),Short head of biceps brachii,Coracoid process of scapula,"Tuberosity of radius, Deep fascia of forearm",Shoulder,,,,,,,
Flexion (150°–170°),Coracobrachialis,Coracoid process,Medial aspect of shaft of humerus,Shoulder,,,,,,,
Extension (40°),Posterior fibers of deltoid,Spine of scapula,Middle of lateral surface of shaft of humerus,Shoulder,,,,,,,
Extension (40°),Latissimus dorsi,"Iliac crest, lumbar fascia, spines of lower six thoracic vertebrae, lower 3–4 ribs, inferior angle of scapula",Floor of bicipital groove of humerus,Shoulder,,,,,,,
Extension (40°),Teres major,Lateral border of scapula,Medial lip of bicipital groove of humerus,Shoulder,,,,,,,
Abduction (160°–180°),Middle fibers of deltoid,Acromion process of scapula,Middle of lateral surface of shaft of humerus,Shoulder,,,,,,,
Abduction (160°–180°),Supraspinatus,Supraspinous fossa of scapula,Greater tubercle of humerus,Shoulder,,,,,,,
Adduction (30°–40°),Sternal part of pectoralis major,"Sternum, upper six costal cartilages",Lateral lip of bicipital groove of humerus,Shoulder,,,,,,,
Adduction (30°–40°),Latissimus dorsi,"Iliac crest, lumbar fascia, spines of lower six thoracic vertebrae, lower 3-4 ribs, inferior angle of scapula",Floor of bicipital groove of humerus,Shoulder,,,,,,,
Adduction (30°–40°),Teres major,Lower third of lateral border of scapula,Medial lip of bicipital groove of humerus,Shoulder,,,,,,,
Adduction (30°–40°),Teres minor,Upper two thirds of lateral border of scapula,Greater tubercle of humerus,Shoulder,,,,,,,
Lateral rotation (in abduction: 95°; in adduction: 70°),Infraspinatus,Infraspinous fossa of scapula,Greater tubercle of humerus,Shoulder,,,,,,,
Lateral rotation (in abduction: 95°; in adduction: 70°),Teres minor,Upper two thirds of lateral border of scapula,Greater tubercle of humerus,Shoulder,,,,,,,
Lateral rotation (in abduction: 95°; in adduction: 70°),Posterior fibers of deltoid,Spine of scapula,Middle of lateral surface of shaft of humerus,Shoulder,,,,,,,
Medial rotation (in abduction: 40°–50°; in adduction: 70°),Subscapularis,Subscapular fossa,Lesser tubercle of humerus,Shoulder,,,,,,,
Medial rotation (in abduction: 40°–50°; in adduction: 70°),Latissimus dorsi,"Iliac crest, lumbar fascia, spines of lower 3-4 ribs, inferior angle of scapula",Floor of bicipital groove of humerus,Shoulder,,,,,,,
Medial rotation (in abduction: 40°–50°; in adduction: 70°),Teres major,Lower third of lateral border of scapula,Medial lip of bicipital groove of humerus,Shoulder,,,,,,,
Medial rotation (in abduction: 40°–50°; in adduction: 70°),Anterior fibers of deltoid,Clavicle,Middle of lateral surface of shaft of humerus,Shoulder,,,,,,,
,,,,Sternoclavicular and acromioclavicular joints,Scapula and clavicula,Abduction (Protraction),Adduction (Retraction),,,,
,,,,Sternoclavicular and acromioclavicular joints,,Depression,Elevation,,,,
,,,,Sternoclavicular and acromioclavicular joints,,Rotation Upward (Superior Rotation),Rotation Downward (Inferior Rotation),,,,
,,,,Elbow,,,,Humeroulnar joint,trochlear notch of the ulna,trochlea of humerus,"Is a simple hinge-joint, and allows of movements of flexion and extension only."
,,,,Elbow,,,,Humeroradial joint,head of the radius,capitulum of the humerus,Is a ball-and-socket joint.
