variable,n_pasos,n_palabras,n_caracteres,palabras_por_paso,n_palabras_paso_max,n_palabras_nombre,n_musculos_secundarios,n_musculos_total,frecuencia_equipamiento,frecuencia_musculo_primario
n_pasos,1.0,0.7436,0.7555,-0.1962,-0.078,0.0837,0.1024,0.1018,-0.1577,-0.0216
n_palabras,0.7436,1.0,0.9813,0.4971,0.4418,0.0834,0.1945,0.1945,-0.1713,0.0368
n_caracteres,0.7555,0.9813,1.0,0.4538,0.411,0.0841,0.1672,0.1673,-0.1279,0.0533
palabras_por_paso,-0.1962,0.4971,0.4538,1.0,0.7621,0.0244,0.1389,0.1398,-0.0508,0.0949
n_palabras_paso_max,-0.078,0.4418,0.411,0.7621,1.0,0.0366,0.0419,0.0418,-0.0418,0.093
n_palabras_nombre,0.0837,0.0834,0.0841,0.0244,0.0366,1.0,-0.1393,-0.1387,-0.106,0.0304
n_musculos_secundarios,0.1024,0.1945,0.1672,0.1389,0.0419,-0.1393,1.0,0.9986,-0.031,-0.2244
n_musculos_total,0.1018,0.1945,0.1673,0.1398,0.0418,-0.1387,0.9986,1.0,-0.0293,-0.2201
frecuencia_equipamiento,-0.1577,-0.1713,-0.1279,-0.0508,-0.0418,-0.106,-0.031,-0.0293,1.0,0.0206
frecuencia_musculo_primario,-0.0216,0.0368,0.0533,0.0949,0.093,0.0304,-0.2244,-0.2201,0.0206,1.0
