dimension,value,count
body_part,upper arms,292
body_part,upper legs,227
body_part,back,203
body_part,waist,169
body_part,chest,163
body_part,shoulders,143
body_part,lower legs,59
body_part,lower arms,37
body_part,cardio,29
body_part,neck,2
equipment,body weight,325
equipment,dumbbell,294
equipment,cable,157
equipment,barbell,154
equipment,leverage machine,81
equipment,band,54
equipment,smith machine,48
equipment,kettlebell,41
equipment,weighted,36
equipment,stability ball,28
equipment,ez barbell,23
equipment,assisted,15
equipment,sled machine,15
equipment,medicine ball,13
equipment,rope,10
equipment,roller,8
equipment,resistance band,7
equipment,bosu ball,3
equipment,olympic barbell,2
equipment,wheel roller,2
equipment,elliptical machine,1
equipment,hammer,1
equipment,skierg machine,1
equipment,stationary bike,1
equipment,stepmill machine,1
equipment,tire,1
equipment,trap bar,1
equipment,upper body ergometer,1
muscle_group,shoulders,191
muscle_group,forearms,165
muscle_group,biceps,164
muscle_group,triceps,161
muscle_group,hamstrings,127
muscle_group,quadriceps,110
muscle_group,glutes,71
muscle_group,obliques,67
muscle_group,hip flexors,66
muscle_group,chest,53
muscle_group,trapezius,36
muscle_group,traps,32
muscle_group,deltoids,24
muscle_group,ankles,11
muscle_group,calves,11
muscle_group,core,7
muscle_group,lower back,6
muscle_group,rotator cuff,4
muscle_group,soleus,4
muscle_group,abdominals,2
muscle_group,latissimus dorsi,2
muscle_group,rhomboids,2
muscle_group,wrist flexors,2
muscle_group,ankle stabilizers,1
muscle_group,hands,1
muscle_group,lats,1
muscle_group,upper back,1
muscle_group,wrist extensors,1
muscle_group,wrists,1
secondary_muscle,shoulders,400
secondary_muscle,hamstrings,289
secondary_muscle,forearms,277
secondary_muscle,triceps,268
secondary_muscle,biceps,194
secondary_muscle,quadriceps,161
secondary_muscle,calves,147
secondary_muscle,glutes,136
secondary_muscle,core,94
secondary_muscle,chest,91
secondary_muscle,hip flexors,77
secondary_muscle,obliques,72
secondary_muscle,lower back,71
secondary_muscle,rhomboids,54
secondary_muscle,trapezius,47
secondary_muscle,upper back,37
secondary_muscle,traps,33
secondary_muscle,deltoids,28
secondary_muscle,rear deltoids,20
secondary_muscle,brachialis,14
secondary_muscle,ankles,11
secondary_muscle,back,11
secondary_muscle,feet,8
secondary_muscle,rotator cuff,6
secondary_muscle,latissimus dorsi,5
secondary_muscle,ankle stabilizers,4
secondary_muscle,soleus,4
secondary_muscle,upper chest,3
secondary_muscle,wrists,3
secondary_muscle,abdominals,2
secondary_muscle,hands,2
secondary_muscle,sternocleidomastoid,2
secondary_muscle,wrist extensors,2
secondary_muscle,wrist flexors,2
secondary_muscle,grip muscles,1
secondary_muscle,groin,1
secondary_muscle,inner thighs,1
secondary_muscle,lats,1
secondary_muscle,lower abs,1
secondary_muscle,shins,1
target,abs,169
target,pectorals,158
target,biceps,151
target,glutes,144
target,delts,143
target,triceps,141
target,upper back,88
target,lats,81
target,calves,59
target,quads,44
target,forearms,37
target,cardiovascular system,29
target,hamstrings,28
target,spine,19
target,traps,15
target,adductors,6
target,abductors,5
target,serratus anterior,5
target,levator scapulae,2
