id,name,nombre_norm,candidato_titulo,candidato_titulo_norm,similitud,jaccard,region_coherente,equipo_coherente,metodo,aceptado
0001,3/4 sit-up,3 4 sit up,3/4 sit-up,3 4 sit up,100.0,1.0,True,True,exacto,True
0002,45° side bend,45 side bend,HM Side-Bend Pose,side bend pose,69.23,0.5,True,True,sin_match,False
0003,air bike,air bike,FYR2 Air Ball,air ball,62.5,0.333,True,False,sin_match,False
1512,all fours squad stretch,all four squad stretch,All Fours Quad Stretch,all four quad stretch,97.67,1.0,True,True,difuso,True
0006,alternate heel touchers,alternate heel toucher,Alternating heel-touch,alternating heel touch,86.36,0.5,True,True,sin_match,False
0007,alternate lateral pulldown,alternate lateral pulldown,MetaBurn Alternating Lateral Sprawl,alternating lateral sprawl,73.08,0.2,False,False,sin_match,False
1368,ankle circles,ankle circle,Ankle Circles,ankle circle,100.0,1.0,True,True,exacto,True
3293,archer pull up,archer pull up,UN Pull-Up Neutral,pull up neutral,68.97,0.5,False,True,sin_match,False
3294,archer push up,archer push up,Holman Narrow Push-Up,narrow push up,78.57,0.5,True,True,sin_match,False
2355,arm slingers hanging bent knee legs,arm slinger hanging bent knee leg,Lying Bent Leg Groin,lying bent leg groin,64.15,0.25,False,True,sin_match,False
2333,arm slingers hanging straight legs,arm slinger hanging straight leg,Alternating single-leg sprawl,alternating single leg sprawl,65.57,0.125,True,True,sin_match,False
3214,arms apart circular toe touch (male),arm apart circular toe touch,Crab toe-touch,crab toe touch,61.9,0.333,False,True,sin_match,False
3204,arms overhead full sit-up (male),arm overhead full sit up,Single-Arm Dumbbell Overhead Squat,single arm dumbbell overhead squat,72.41,0.25,False,False,sin_match,False
0009,assisted chest dip (kneeling),assisted chest dip kneeling,FYR Kneeling Biceps,kneeling bicep,63.41,0.2,False,False,sin_match,False
0011,assisted hanging knee raise,assisted hanging knee raise,Alternating hanging knee raise,alternating hanging knee raise,77.19,0.6,True,True,sin_match,False
0010,assisted hanging knee raise with throw down,assisted hanging knee raise with throw down,Hanging leg raise with throw down,hanging leg raise with throw down,81.58,0.625,True,True,sin_match,False
1708,assisted lying calves stretch,assisted lying calve stretch,Lying glute stretch,lying glute stretch,68.09,0.4,False,True,sin_match,False
1709,assisted lying glutes stretch,assisted lying glute stretch,Lying glute stretch,lying glute stretch,80.85,0.75,True,True,sin_match,False
1710,assisted lying gluteus and piriformis stretch,assisted lying gluteu and piriformi stretch,IT Band and Glute Stretch,it band and glute stretch,64.71,0.375,True,True,sin_match,False
0012,assisted lying leg raise with lateral throw down,assisted lying leg raise with lateral throw down,Partner lying leg raise with lateral throw down,partner lying leg raise with lateral throw down,82.11,0.778,True,True,sin_match,False
0013,assisted lying leg raise with throw down,assisted lying leg raise with throw down,Partner lying leg raise with throw down,partner lying leg raise with throw down,78.48,0.75,True,True,sin_match,False
0014,assisted motion russian twist,assisted motion russian twist,Medicine ball Russian twist,medicine ball russian twist,67.86,0.333,True,True,sin_match,False
0015,assisted parallel close grip pull-up,assisted parallel close grip pull up,UN Band Assisted Pull-up Pronated,band assisted pull up pronated,66.67,0.375,True,False,sin_match,False
0016,assisted prone hamstring,assisted prone hamstring,Assisted Chin-Up,assisted chin up,70.0,0.2,False,True,sin_match,False
1713,assisted prone lying quads stretch,assisted prone lying quad stretch,Lying quad stretch with band,lying quad stretch with band,68.85,0.429,True,True,sin_match,False
1714,assisted prone rectus femoris stretch,assisted prone rectu femori stretch,Intermediate Hip Flexor and Quad Stretch,intermediate hip flexor and quad stretch,61.33,0.1,False,True,sin_match,False
0017,assisted pull-up,assisted pull up,Band-assisted pull-up,band assisted pull up,86.49,0.75,True,False,sin_match,False
1716,assisted seated pectoralis major stretch with stability ball,assisted seated pectorali major stretch with exercise ball,Natural Glute Ham Raise with Stability Ball,natural glute ham raise with exercise ball,58.0,0.25,False,True,sin_match,False
